 Destination, FirstReachTime, LastReachTime, AverageReachTime,LastDestroyedObjectPrefab,,,,,,,,,,,,
 Destination 0,0.3533334,16.12753,3.702174, LastDestroyedObjectPrefab: Human,,,,,,,, Destination 0,0.8890048,123.8146,29.6363, LastDestroyedObjectPrefab: Human
 Destination 1,2.940667,20.75706,10.5539, LastDestroyedObjectPrefab: Human,,,,,,,, Destination 1,28.32662,194.3111,89.23061, LastDestroyedObjectPrefab: Human
 Destination 0,0.06245041,15.16376,3.438948, LastDestroyedObjectPrefab: Human,,,,,,,,,,,,
 Destination 1,2.816807,24.02693,10.22655, LastDestroyedObjectPrefab: Human2,,,,,,,,,,,,
 Destination 0,0.09656525,15.05305,3.579319, LastDestroyedObjectPrefab: Human2,,,,,,,,,,,,
 Destination 1,2.971474,19.39041,10.37691, LastDestroyedObjectPrefab: Human,,,,,,,,,,,,
 Destination 0,0.08248138,15.12766,3.471931, LastDestroyedObjectPrefab: Human,,,,,,,,,,,,
 Destination 1,2.917282,19.7065,10.33864, LastDestroyedObjectPrefab: Human2,,,,,,,,,,,,
 Destination 0,0.1254654,14.44709,3.506615, LastDestroyedObjectPrefab: Human2,,,,,,,,,,,,
 Destination 1,3.20723,19.20478,10.31282, LastDestroyedObjectPrefab: Human2,,,,,,,,,,,,
 Destination 0,0.04451752,15.6399,3.495148, LastDestroyedObjectPrefab: Human2,,,,,,,,,,,,
 Destination 1,3.254105,19.6263,10.31956, LastDestroyedObjectPrefab: Human2,,,,,,,,,,,,
 Destination 0,0.06230164,14.73386,3.393341, LastDestroyedObjectPrefab: Human2,,,,,,,,,,,,
 Destination 1,3.085938,19.53976,10.36369, LastDestroyedObjectPrefab: Human,,,,,,,,,,,,
 Destination 0,0.1239624,15.20894,3.617569, LastDestroyedObjectPrefab: Human,,,,,,,,,,,,
 Destination 1,3.211243,19.58833,10.51181, LastDestroyedObjectPrefab: Human,,,,,,,,,,,,
 Destination 0,0.0625,14.84505,3.485031, LastDestroyedObjectPrefab: Human2,,,,,,,,,,,,
 Destination 1,3.288345,19.45392,10.47003, LastDestroyedObjectPrefab: Human2,,,,,,,,,,,,
 Destination 0,0.08047485,15.22731,3.686844, LastDestroyedObjectPrefab: Human,,,,,,,,,,,,
 Destination 1,2.860184,19.20177,10.50642, LastDestroyedObjectPrefab: Human,,,,,,,,,,,,
