 Destination, FirstReachTime, LastReachTime, AverageReachTime, LastDestroyedObjectPrefab
 Destination 0,0.3533334,13.28666,2.950279, LastDestroyedObjectPrefab: Human5
 Destination 1,1.474426,15.79107,7.150126, LastDestroyedObjectPrefab: Human5
 Destination 0,0.3533334,11.37683,2.814461, LastDestroyedObjectPrefab: Human3
 Destination 1,1.331816,14.35779,6.487122, LastDestroyedObjectPrefab: Human3
 Destination 0,0.09844303,8.149717,2.675991, LastDestroyedObjectPrefab: Human3
 Destination 1,1.327525,12.98544,6.109327, LastDestroyedObjectPrefab: Human3
 Destination 0,0.3533334,12.81694,2.733115, LastDestroyedObjectPrefab: Human2
 Destination 1,1.317456,15.54755,6.612961, LastDestroyedObjectPrefab: Human2
 Destination 0,0.3533334,8.679832,2.608137, LastDestroyedObjectPrefab: Human
 Destination 1,1.277664,14.9717,6.091594, LastDestroyedObjectPrefab: Human
 Destination 0,0.3533334,12.67712,2.894965, LastDestroyedObjectPrefab: Human3
 Destination 1,1.704639,18.15254,8.173686, LastDestroyedObjectPrefab: Human3
 Destination 0,0.3533334,8.777864,2.902374, LastDestroyedObjectPrefab: Human5
 Destination 1,1.446953,15.12624,7.722389, LastDestroyedObjectPrefab: Human5
 Destination 0,0.0199995,10.43381,2.928639, LastDestroyedObjectPrefab: Human2
 Destination 1,1.708543,24.50233,7.822209, LastDestroyedObjectPrefab: Human2
 Destination 0,0.3533334,8.777864,2.902374, LastDestroyedObjectPrefab: Human5
 Destination 1,1.446953,15.12624,7.722389, LastDestroyedObjectPrefab: Human5
 Destination 0,0.0199995,10.43381,2.928639, LastDestroyedObjectPrefab: Human2
 Destination 1,1.708543,24.50233,7.822209, LastDestroyedObjectPrefab: Human2
 Destination 0,0.05875015,9.381088,2.907272, LastDestroyedObjectPrefab: Human5
 Destination 1,1.604504,15.23231,7.772743, LastDestroyedObjectPrefab: Human5
 Destination 0,0.1142731,9.977116,2.875195, LastDestroyedObjectPrefab: Human
 Destination 1,1.162117,27.82469,7.773243, LastDestroyedObjectPrefab: Human
 Destination 0,0.3533334,11.17841,2.742715, LastDestroyedObjectPrefab: Human
 Destination 1,1.442621,15.08442,7.626316, LastDestroyedObjectPrefab: Human
 Destination 0,0.1020546,10.1335,2.675985, LastDestroyedObjectPrefab: Human2
 Destination 1,1.330759,16.31745,7.426226, LastDestroyedObjectPrefab: Human2
 Destination 0,0.06910706,10.53981,2.630095, LastDestroyedObjectPrefab: Human
 Destination 1,1.460024,15.44023,7.4835, LastDestroyedObjectPrefab: Human
 Destination 0,0.1099701,11.03273,2.58773, LastDestroyedObjectPrefab: Human5
 Destination 1,1.234173,15.21446,7.397999, LastDestroyedObjectPrefab: Human5
 Destination 0,0.3533334,12.25936,2.784673, LastDestroyedObjectPrefab: Human
 Destination 1,1.354079,15.3393,7.669432, LastDestroyedObjectPrefab: Human
 Destination 0,0.07911777,9.272675,2.607508, LastDestroyedObjectPrefab: Human6
 Destination 1,1.335007,15.08157,7.391676, LastDestroyedObjectPrefab: Human6
 Destination 0,0.05784988,10.85007,2.559776, LastDestroyedObjectPrefab: Human5
 Destination 1,1.369028,14.76429,7.324177, LastDestroyedObjectPrefab: Human5
 Destination 0,0.08030319,9.101093,2.548382, LastDestroyedObjectPrefab: Human
 Destination 1,1.153915,15.0617,7.311123, LastDestroyedObjectPrefab: Human
 Destination 0,0.08101654,10.74714,2.651958, LastDestroyedObjectPrefab: Human6
 Destination 1,1.57283,14.93928,7.482876, LastDestroyedObjectPrefab: Human6
 Destination 0,0.05775452,9.841354,2.602028, LastDestroyedObjectPrefab: Human5
 Destination 1,1.048164,15.03317,7.43148, LastDestroyedObjectPrefab: Human5
 Destination 0,0.0815506,12.27642,2.763306, LastDestroyedObjectPrefab: Human2
 Destination 1,1.241524,15.77229,7.663872, LastDestroyedObjectPrefab: Human2
 Destination 0,0.05168152,8.887703,2.626251, LastDestroyedObjectPrefab: Human
 Destination 1,1.391006,15.40647,7.395248, LastDestroyedObjectPrefab: Human
 Destination 0,0.1334305,11.56028,2.643959, LastDestroyedObjectPrefab: Human
 Destination 1,1.303497,15.14957,7.374077, LastDestroyedObjectPrefab: Human
 Destination 0,0.06735229,12.3338,2.698196, LastDestroyedObjectPrefab: Human5
 Destination 1,1.337753,15.28667,7.526108, LastDestroyedObjectPrefab: Human5
 Destination 0,0.1662292,8.679443,2.682083, LastDestroyedObjectPrefab: Human5
 Destination 1,1.320663,15.21248,7.462814, LastDestroyedObjectPrefab: Human5
 Destination 0,0.08688354,10.17174,2.726501, LastDestroyedObjectPrefab: Human2
 Destination 1,1.198166,15.5788,7.637527, LastDestroyedObjectPrefab: Human2
 Destination 0,0.08070374,7.755295,2.589615, LastDestroyedObjectPrefab: Human5
 Destination 1,1.171249,14.86299,7.418411, LastDestroyedObjectPrefab: Human5
 Destination 0,0.132019,8.120895,2.579575, LastDestroyedObjectPrefab: Human5
 Destination 1,1.293976,14.75606,7.284912, LastDestroyedObjectPrefab: Human5
 Destination 0,0.08050537,8.221588,2.582382, LastDestroyedObjectPrefab: Human2
 Destination 1,1.155319,15.23677,7.409103, LastDestroyedObjectPrefab: Human2
 Destination 0,0.0809021,10.8681,2.647522, LastDestroyedObjectPrefab: Human2
 Destination 1,1.33522,15.20782,7.450806, LastDestroyedObjectPrefab: Human2
 Destination 0,0.05813599,8.740936,2.636734, LastDestroyedObjectPrefab: Human
 Destination 1,1.329559,15.29912,7.500885, LastDestroyedObjectPrefab: Human
 Destination 0,0.09112549,10.38498,2.61792, LastDestroyedObjectPrefab: Human
 Destination 1,1.334015,15.46823,7.544128, LastDestroyedObjectPrefab: Human
 Destination 0,0.1199341,8.292328,2.558197, LastDestroyedObjectPrefab: Human5
 Destination 1,1.20224,14.73868,7.355103, LastDestroyedObjectPrefab: Human5
 Destination 0,0.04141235,11.1228,2.653809, LastDestroyedObjectPrefab: Human2
 Destination 1,1.368408,15.16791,7.494843, LastDestroyedObjectPrefab: Human2
 Destination 0,0.1091309,8.245056,2.564728, LastDestroyedObjectPrefab: Human
 Destination 1,1.257965,15.19791,7.413544, LastDestroyedObjectPrefab: Human
 Destination 0,0.08200073,8.621582,2.543884, LastDestroyedObjectPrefab: Human6
 Destination 1,1.161194,14.93689,7.330566, LastDestroyedObjectPrefab: Human6
 Destination 0,0.09542847,9.399323,2.580902, LastDestroyedObjectPrefab: Human5
 Destination 1,1.087067,15.08502,7.383698, LastDestroyedObjectPrefab: Human5
 Destination 0,0.04144287,12.47702,2.659698, LastDestroyedObjectPrefab: Human
 Destination 1,1.405151,15.99335,7.53775, LastDestroyedObjectPrefab: Human
 Destination 0,0.04147339,9.450104,2.54538, LastDestroyedObjectPrefab: Human
 Destination 1,1.269684,14.87109,7.228973, LastDestroyedObjectPrefab: Human
 Destination 0,0.1522827,9.207825,2.641205, LastDestroyedObjectPrefab: Human2
 Destination 1,1.274689,15.13199,7.455658, LastDestroyedObjectPrefab: Human2
 Destination 0,0.07965088,9.802582,2.633484, LastDestroyedObjectPrefab: Human5
 Destination 1,1.403381,15.33173,7.518036, LastDestroyedObjectPrefab: Human5
