 Destination, FirstReachTime, LastReachTime, AverageReachTime,LastDestroyedObjectPrefab
 Destination 0,0.3533334,12.12962,3.0984, LastDestroyedObjectPrefab: Human
 Destination 1,1.843681,18.44743,9.60906, LastDestroyedObjectPrefab: Human
 Destination 0,0.06387901,10.89771,3.100592, LastDestroyedObjectPrefab: Human
 Destination 1,1.791981,19.03369,9.461731, LastDestroyedObjectPrefab: Human
 Destination 0,0.09676361,12.1228,3.135643, LastDestroyedObjectPrefab: Human2
 Destination 1,1.490326,18.36077,9.508083, LastDestroyedObjectPrefab: Human2
 Destination 0,0.09657288,9.943249,3.018074, LastDestroyedObjectPrefab: Human2
 Destination 1,1.614971,18.89062,9.432728, LastDestroyedObjectPrefab: Human2
 Destination 0,0.09669495,12.16657,3.089127, LastDestroyedObjectPrefab: Human
 Destination 1,1.764542,20.02563,9.58223, LastDestroyedObjectPrefab: Human
 Destination 0,0.1126251,12.01633,3.109222, LastDestroyedObjectPrefab: Human
 Destination 1,1.674011,19.08922,9.583733, LastDestroyedObjectPrefab: Human
 Destination 0,0.1106796,12.27181,3.173668, LastDestroyedObjectPrefab: Human
 Destination 1,1.878113,18.87823,9.581779, LastDestroyedObjectPrefab: Human
 Destination 0,0.05163574,10.42339,3.074249, LastDestroyedObjectPrefab: Human2
 Destination 1,1.700287,18.9575,9.422272, LastDestroyedObjectPrefab: Human2
 Destination 0,0.09657288,11.91139,3.093292, LastDestroyedObjectPrefab: Human
 Destination 1,1.677963,18.68532,9.447327, LastDestroyedObjectPrefab: Human
 Destination 0,0.09719849,10.70116,3.047409, LastDestroyedObjectPrefab: Human
 Destination 1,1.689255,18.89888,9.42865, LastDestroyedObjectPrefab: Human
 Destination 0,0.06996155,12.1772,3.022964, LastDestroyedObjectPrefab: Human2
 Destination 1,1.819565,18.48169,9.56192, LastDestroyedObjectPrefab: Human2
 Destination 0,0.09841919,10.98944,3.058411, LastDestroyedObjectPrefab: Human
 Destination 1,1.708817,18.98096,9.540985, LastDestroyedObjectPrefab: Human
 Destination 0,0.09637451,12.43814,3.109467, LastDestroyedObjectPrefab: Human
 Destination 1,1.526764,19.98975,9.729599, LastDestroyedObjectPrefab: Human
 Destination 0,0.04789734,11.02042,3.109802, LastDestroyedObjectPrefab: Human
 Destination 1,1.559692,19.21295,9.528015, LastDestroyedObjectPrefab: Human
 Destination 0,0.07369995,10.89838,3.05368, LastDestroyedObjectPrefab: Human
 Destination 1,1.642548,18.69293,9.431061, LastDestroyedObjectPrefab: Human
 Destination 0,0.1412659,10.93051,3.116455, LastDestroyedObjectPrefab: Human
 Destination 1,1.66452,19.02548,9.571564, LastDestroyedObjectPrefab: Human
 Destination 0,0.09869385,11.5679,3.069061, LastDestroyedObjectPrefab: Human
 Destination 1,1.331268,19.25171,9.490601, LastDestroyedObjectPrefab: Human
 Destination 0,0.1117249,11.50095,3.104279, LastDestroyedObjectPrefab: Human
 Destination 1,1.700653,18.43372,9.589783, LastDestroyedObjectPrefab: Human
 Destination 0,0.09625244,11.98965,2.996429, LastDestroyedObjectPrefab: Human
 Destination 1,1.57193,18.79556,9.408844, LastDestroyedObjectPrefab: Human
 Destination 0,0.09533691,10.75168,3.060181, LastDestroyedObjectPrefab: Human
 Destination 1,1.662964,21.76483,9.257446, LastDestroyedObjectPrefab: Human
 Destination 0,0.1266479,11.82864,2.936279, LastDestroyedObjectPrefab: Human2
 Destination 1,1.459961,18.60956,9.10379, LastDestroyedObjectPrefab: Human2
 Destination 0,0.111084,11.11182,3.010651, LastDestroyedObjectPrefab: Human
 Destination 1,1.59375,19.76208,9.331573, LastDestroyedObjectPrefab: Human
 Destination 0,0.02,12.21596,3.154936, LastDestroyedObjectPrefab: Human
 Destination 1,1.506487,18.73645,9.606578, LastDestroyedObjectPrefab: Human
 Destination 0,0.3533334,11.56676,3.157594, LastDestroyedObjectPrefab: Human2
 Destination 1,1.604995,19.65771,9.52305, LastDestroyedObjectPrefab: Human2
 Destination 0,0.0580616,11.48477,3.069387, LastDestroyedObjectPrefab: Human
 Destination 1,1.468508,18.71403,9.315994, LastDestroyedObjectPrefab: Human
 Destination 0,0.3533334,12.60253,3.134649, LastDestroyedObjectPrefab: Human
 Destination 1,1.704815,19.16189,9.722115, LastDestroyedObjectPrefab: Human
 Destination 0,0.0958786,12.45287,3.085987, LastDestroyedObjectPrefab: Human
 Destination 1,1.669334,19.06257,9.376034, LastDestroyedObjectPrefab: Human
 Destination 0,0.1055679,10.75643,3.034054, LastDestroyedObjectPrefab: Human
 Destination 1,2.008568,18.53399,9.42392, LastDestroyedObjectPrefab: Human
 Destination 0,0.1101112,11.31167,3.043587, LastDestroyedObjectPrefab: Human
 Destination 1,1.807583,18.90912,9.40274, LastDestroyedObjectPrefab: Human
 Destination 0,0.0490036,11.37376,3.046333, LastDestroyedObjectPrefab: Human
 Destination 1,1.658806,18.57079,9.436928, LastDestroyedObjectPrefab: Human
